見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
県名匠表彰受賞記念展,福形崇男氏（位牌（いはい）文字彫刻）の功績や作品を紹介,,,3月14日（水）～19日（月）9:30～17:00 ※19日は15:00まで,県民文化会館（和歌山市）,,,,,県庁文化学術課,,,,,http://www.pref.wakayama.lg.jp/prefg/022100/meisho/h28kinenten.html,,,
青少年活動センターまつり2018,工作体験やおもしろ実験など,,,3月11日（日）10:00～15:00,和歌山ビッグ愛（和歌山市）,,,,,県青少年育成協会 電話073-435-5236,,,,,http://wpyda.org/,,,
第12回和歌山県民俗芸能祭,,,,3月18日（日）13:30～,県民文化会館（和歌山市）,,"1,989人（先着順）",,,会場 電話073-436-1331 ※各プレイガイドで整理券配布,,,,,http://www.wacaf.or.jp/index.html,,,
「不動産鑑定評価の日」無料相談会,価格、賃料、有効活用など不動産全般,,,4月7日（土）10:00～16:00,県不動産鑑定士協会（和歌山市） ,,,,,,事前に会場 電話073-402-2435,,,,,,,
食の安全タウンミーティング,テーマ：知っておきたい「食品表示」,,,3月27日（火）14:00～15:30,和歌山ビッグ愛（和歌山市）,,30人（先着順）,,,,郵送、電話、ファックス、Eメールで氏名、電話番号を3月19日までに県庁食品・生活衛生課ファックス073-432-1952　,,,,,,e0316001@pref.wakayama.lg.jp,
県立橋本体育館教室無料体験会,教室：(1)ヨガマルシェ(2)カキラ,,,3月29日（木）(1)9:45～10:45(2)11:00～12:00,,18歳以上の方,各30人（先着順）,,来所、電話で県立橋本体育館（火曜休館） 橋本市北馬場455 電話0736-32-9660,,,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
疾患別患者・家族交流会,,,,(1)特発性間質性肺炎 4月25日（水）(2)多発性硬化症・視神経脊髄炎 5月12日（土）(3)原発性胆汁性胆管炎 5月26日（土）いずれも13:30～15:30,県難病・子ども保健相談支援センター（和歌山市）,患者、家族,各10人程度（先着順）,,電話、ファックスで交流会名、氏名、電話番号、参加人数を開催前日（手話通訳・要約筆記希望者は開催日の1カ月前）までに会場  電話073-445-0520　ファックス073-445-0603,,,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/info1.html#kouryukai4,,,
農業農村整備課からのお知らせ,(1)耕作放棄地再生活動協働モデル事業 中山間地域が抱える課題解決のため、活動団体が持つ新たなアイデアや社会経験を活かした企画提案(2)和みのむら活性化支援モデル事業むら機能が低下した地域に活気を呼び起こす企画提案,,,,,,,,,,郵送、来所で所定の提案書（WEBサイトで配布）を3月16日までに振興局農地課（東牟婁は農業水産振興課）,,,,http://www.pref.wakayama.lg.jp/prefg/070500/,,,
県就農支援センター就農研修,,,,(1)農業体験研修 毎月1回 ※研修日は要問合せ(2)技術修得研修 5月7日～9月14日 全25日(3)ウィークエンド農業塾 5月19日～7月15日 全10日,県就農支援センター（御坊市）,,(1)10人(2)8人(3)15人,(1)10人(2)8人(3)15人 ,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を(1)研修日10日前(2)4月9日(3)18日までに会場  〒644-0024御坊市塩屋町南塩屋724電話0738-23-3488　ファックス0738-23-3489,,,,http://www.pref.wakayama.lg.jp/prefg/071601/pamphlet/documents/documents/documents/h30_kensyuuyotei.html,,e0716011@pref.wakayama.lg.jp,
県農林大学校ウィークエンド農業塾,,,,(1)野菜コース 5月12日～11月17日(2)果樹コース 5月12日～平成31年1月19日 いずれも土曜全8日,県農林大学校（かつらぎ町）,,各15人（抽選）,無料（傷害保険料別）,,,郵送で所定の申込書（申込先、WEBサイトで配布）を4月4日までに会場電話0736-22-2203 〒649-7112かつらぎ町中飯降422,,,,http://www.pref.wakayama.lg.jp/prefg/071601/pamphlet/documents/documents/documents/h30_kensyuuyotei.html,,,
生石高原山焼き,生石高原県立自然公園の春の風物詩。純粋なススキ草原の再生に役立っています。,,,3月11日（日）8:30～12:30※悪天候の場合は18日（日）に延期,生石高原（紀美野町・有田川町）,,,,,有田川町商工観光課 電話0737-52-2111紀美野町産業課 電話073-489-2430,,,,,,,,
5月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)パソコン基礎科(2)パソコン・総務経理事務科(3)介護初級科(4)CAD・NC科(5)OA事務科（初級）（障害者対象）,,,(1)和歌山市・新宮市(2)和歌山市・田辺市(3)橋本市・御坊市(4)和歌山市(5)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはWEBサイトを要確認,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
南紀白浜空港開港50周年記念紀伊半島一周遊覧飛行,,,,4月1日（日）(1)11:00～12:30 (2)14:00～15:00,南紀白浜空港（白浜町）,(1)有田郡以北在住の方(2)日高郡以南在住の方（白浜町を除く）,各20組40人（抽選）,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を3月11日までに問合先紀伊半島一周遊覧飛行のイラスト問い合わせ：(1)県庁港湾空港振興課ファックス073-433-4839　Eメール　e0824001@pref.wakayama.lg.jp (2)西牟婁振興局企画産業課 〒646-8580田辺市朝日ヶ丘23-1ファックス0739-26-7917Eメール　e1306161@pref.wakayama.lg.jp※白浜町在住の方は別途町が募集,,,,http://www.pref.wakayama.lg.jp/prefg/130600/130600.html,,,
和歌山大学南紀熊野サテライト学部開放授業受講生,科目：(1)地域暮らしの法律学A (2)熊野郷土学C,,,4～9月（金曜夜間・土曜に開講）,(1)情報交流センターBig・U（田辺市）(2)新宮信用金庫5階（新宮市）,高校生、18歳以上の方,各30人（先着順）,"7,000円（登録料）、1科目10,000円（授業料）",,,郵送で所定の申込書（申込先、WEBサイトで配布）を3月15日までに和歌山大学南紀熊野サテライト〒646-0011田辺市新庄町3353-9 電話0739-23-3977,,,,http://www.wakayama-u.ac.jp/nanki-kumano/,,,
県職員採用試験総合案内,平成30年度の試験日程や受験資格などを掲載,,,,,,,,,県人事委員会事務局 ,,県人事委員会事務局、振興局総務県民課、県パスポートセンター、警察署など,,,http://www.pref.wakayama.lg.jp/prefg/210100/saiyou.html,,,
県警察官A採用,※場所・試験区分・採用予定人数は試験案内（申込書）をご覧ください,,,5月13日（日）,,,,,,,3月1日～4月6日に県警察本部警務課 電話073-423-0110,,昭和61年4月2日以降に生まれた方で、大学（短期大学を除く）の卒業者または平成31年3月末日までに卒業見込みの方（一部試験区分は別に資格要件あり）,県警察本部警務課、警察署、県人事委員会事務局、県パスポートセンターなど,http://www.police.pref.wakayama.lg.jp/recruit/index.html,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,家族でリフレッシュin白崎 ,野外炊飯、キャンプファイヤー、星空観察、ピザ作りなど,4月28日（土）～30日(振休)2泊3日,,,15家族60人（先着順）,"4,600～6,240円/人 ",4月14日まで,,,,,,,,,
紀北青少年の家,〒649-7112　かつらぎ町中飯降1317-3電話0736-22-5530　ファックス0736-22-5531http://www.kihokuseisyounen.com/ ,紀北の湯（春）,仲間たちと食事や入浴、歌などで楽しく過ごす,4月12日（木）10:00～15:00,,,40人（先着順）,"1,500円（食事込）",4月2日まで ,,,,,,,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,日帰り！野山で、遊び隊！,,3月25日（日）9:00～14:00,,小学4年生以上,20人（先着順）,"小・中・高校生1,500円、一般2,000円（昼食代など）",3月4～15日 ,,,,,,,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,ハッピー☆イースター,参加者と交流しながら西洋文化に触れる,4月15日（日）10:00～16:00,,小学4年～中学3年生 ,30人（先着順）,"1,500円（昼食代など）",3月13～25日,,,,,,,,,
